episode,scenario,reward,success,crashed,timed_out,stuck,steps,goal_distance,lane_offset_m,target_speed_kmh,failure_type,max_lane_offset,final_goal_distance,low_speed_ratio,high_traffic_ratio,notes
62,highway_merge,-112.9375220098916,False,True,False,False,189,49.00360107421875,1.4088586568832397,45.0,lane_departure_early_collision,3.39384126663208,49.00360107421875,0.43386243386243384,0.20105820105820105,max_lane_offset=3.394; final_goal_distance=49.004; low_speed_ratio=0.434; high_traffic_ratio=0.201
66,highway_merge,-95.99773675195138,False,True,False,False,201,48.238765716552734,1.5011488199234009,45.0,lane_departure_early_collision,3.471623420715332,48.238765716552734,0.47761194029850745,0.13930348258706468,max_lane_offset=3.472; final_goal_distance=48.239; low_speed_ratio=0.478; high_traffic_ratio=0.139
68,highway_merge,-106.89361147986588,False,True,False,False,191,49.84516525268555,1.117186427116394,45.0,lane_departure_early_collision,3.4762558937072754,49.84516525268555,0.5392670157068062,0.19895287958115182,max_lane_offset=3.476; final_goal_distance=49.845; low_speed_ratio=0.539; high_traffic_ratio=0.199
77,highway_merge,-136.66026846384685,False,True,False,False,192,47.367149353027344,1.6524019241333008,45.0,lane_departure_early_collision,3.406219959259033,47.367149353027344,0.421875,0.265625,max_lane_offset=3.406; final_goal_distance=47.367; low_speed_ratio=0.422; high_traffic_ratio=0.266
80,highway_merge,-82.91387505210929,False,True,False,False,189,49.788509368896484,1.2678910493850708,45.0,lane_departure_early_collision,3.3921241760253906,49.788509368896484,0.4074074074074074,0.13756613756613756,max_lane_offset=3.392; final_goal_distance=49.789; low_speed_ratio=0.407; high_traffic_ratio=0.138
81,highway_merge,-167.37015885373597,False,True,False,False,190,46.956642150878906,1.65408194065094,45.0,lane_departure_early_collision,3.4130194187164307,46.956642150878906,0.4421052631578947,0.3157894736842105,max_lane_offset=3.413; final_goal_distance=46.957; low_speed_ratio=0.442; high_traffic_ratio=0.316
82,highway_merge,-84.30168235757156,False,True,False,False,262,7.431555271148682,0.3458169400691986,45.0,terminal_oscillation_collision,3.4003965854644775,7.431555271148682,0.37404580152671757,0.15267175572519084,max_lane_offset=3.400; final_goal_distance=7.432; low_speed_ratio=0.374; high_traffic_ratio=0.153
84,highway_merge,-125.21492474795264,False,True,False,False,189,48.658939361572266,1.4195094108581543,45.0,lane_departure_early_collision,3.275916814804077,48.658939361572266,0.4973544973544973,0.21164021164021163,max_lane_offset=3.276; final_goal_distance=48.659; low_speed_ratio=0.497; high_traffic_ratio=0.212
85,highway_merge,-161.30811609006406,False,True,False,False,195,48.03009033203125,1.4867430925369263,43.3415150642395,lane_departure_early_collision,3.4147348403930664,48.03009033203125,0.5025641025641026,0.24615384615384617,max_lane_offset=3.415; final_goal_distance=48.030; low_speed_ratio=0.503; high_traffic_ratio=0.246
86,highway_merge,-95.18749381881642,False,True,False,False,197,41.76741409301758,1.2093844413757324,45.0,lane_departure_early_collision,3.3613650798797607,41.76741409301758,0.4263959390862944,0.116751269035533,max_lane_offset=3.361; final_goal_distance=41.767; low_speed_ratio=0.426; high_traffic_ratio=0.117
88,highway_merge,-105.96418823554195,False,True,False,False,187,48.09433364868164,1.4480758905410767,45.0,lane_departure_early_collision,3.4290435314178467,48.09433364868164,0.42780748663101603,0.20855614973262032,max_lane_offset=3.429; final_goal_distance=48.094; low_speed_ratio=0.428; high_traffic_ratio=0.209
89,highway_merge,-162.16779061827162,False,True,False,False,183,51.90742111206055,0.7001292705535889,37.01966509222984,lane_departure_early_collision,3.469451665878296,51.90742111206055,0.45901639344262296,0.2677595628415301,max_lane_offset=3.469; final_goal_distance=51.907; low_speed_ratio=0.459; high_traffic_ratio=0.268
91,highway_merge,-129.97262067427428,False,True,False,False,191,49.611366271972656,1.269120216369629,43.095223903656006,lane_departure_early_collision,3.4280669689178467,49.611366271972656,0.5235602094240838,0.19895287958115182,max_lane_offset=3.428; final_goal_distance=49.611; low_speed_ratio=0.524; high_traffic_ratio=0.199
94,highway_merge,-73.27183805011715,False,True,False,False,241,16.837068557739258,0.2901778519153595,45.0,mixed_collision,3.2541067600250244,16.837068557739258,0.33195020746887965,0.13278008298755187,max_lane_offset=3.254; final_goal_distance=16.837; low_speed_ratio=0.332; high_traffic_ratio=0.133
95,highway_merge,-94.19734971451882,False,True,False,False,200,42.499202728271484,1.1539020538330078,45.0,lane_departure_early_collision,3.470409870147705,42.499202728271484,0.39,0.155,max_lane_offset=3.470; final_goal_distance=42.499; low_speed_ratio=0.390; high_traffic_ratio=0.155
97,highway_merge,-83.8463880666383,False,True,False,False,232,18.83503532409668,0.20626141130924225,45.0,closing_speed_or_gap_failure,3.3470218181610107,18.83503532409668,0.25,0.1939655172413793,max_lane_offset=3.347; final_goal_distance=18.835; low_speed_ratio=0.250; high_traffic_ratio=0.194
